"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"111117",40552983,3,3,1,4,2,5,1,1,1,5,5,1,5,5,5,5,2,2,4,4,4,1,3,12,"GA",13,3,0,2,201701,1,6,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",4,1,2,133.322771047232,"R",20,300,50,25,20,300,50
"111128",40553162,7,3,1,1,1,1,2,1,5,1,5,2,4,4,5,5,2,2,2,3,2,2,1,0,"GA",13,1,0,0,201702,1,1,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,232.848619521689,"C",40,3000,1500,750,50,3000,1500
"111131",40553238,2,3,1,4,2,6,2,1,2,3,4,1,2,3,5,5,2,2,3,3,3,1,2,12,"GA",13,3,0,3,201702,1,8,3,2,2,1,2,1,1,5,3,53,97,1,"XXXXX",4,1,2,448.222384593667,"T",20,1500,750,750,30,3000,750
"111140",40553316,4,3,1,1,1,5,1,1,5,5,5,1,5,5,5,5,2,1,5,5,5,2,1,5,"GA",13,1,0,0,201702,1,1,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,1,2,73.9643448789763,"R",20,300,50,75,20,300,50
"111145",40553376,3,3,1,1,1,5,1,1,3,3,5,1,5,5,5,5,3,4,4,4,3,2,1,4,"GA",13,1,0,1,201701,1,1,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,68.316162301864,"T",50,1500,750,750,50,1500,750
"111164",40553598,3,1,1,3,3,6,1,5,5,5,5,2,5,5,5,5,2,2,5,5,5,1,3,4,"GA",13,3,0,1,201701,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",3,1,2,407.528364841485,"T",20,1500,750,750,5,3000,750
"111175",40553765,5,4,1,4,6,10,1,1,1,5,5,1,4,5,5,5,5,5,5,5,5,1,4,12,"GA",13,3,0,2,201612,1,8,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",4,1,2,955.14745583925,"R",30,300,300,150,30,300,300
"111176",40553770,4,3,2,4,1,1,1,1,4,1,5,1,3,4,4,4,2,2,3,3,3,2,3,0,"GA",13,4,0,0,201611,1,2,3,2,2,1,2,1,1,5,3,53,3,2,"XXXXX",4,1,2,650.218934430395,"C",70,7000,1500,1500,80,3000,1500
"111209",40554121,3,3,2,3,0,1,5,1,2,2,2,5,5,5,5,5,1,1,1,1,1,1,0,2,"GA",13,1,2,0,201611,1,3,3,1,2,2,6,1,1,5,3,53,2,2,"XXXXX",3,1,2,237.703261522466,"R",30,300,300,150,40,1500,300
"111211",40554130,5,3,1,3,3,10,1,1,5,4,5,1,5,5,5,5,2,4,5,5,5,1,3,9,"GA",13,2,0,3,201703,1,8,3,2,2,4,6,2,1,5,3,53,1,1,"XXXXX",3,1,2,138.3996429868,"R",5,300,50,150,5,300,300
